fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.73071,0.00874,0.01054,0.92151,0.00049,3.11021,0.80134,7.5,0.4408,1.53063,0.01613,0.76228,0.41185,0.0,0.10533,0.4172,0.0,0.0,0.0,0.57338,0.0,0.97266,0.0,0.0,0.0
0.71368,0.00835,0.00852,0.85899,0.0004,2.84412,0.86293,8.4315,0.35205,1.60701,0.01776,0.49347,0.35764,0.0,0.10793,0.55688,0.0,0.0,0.0,0.5184,0.0,0.64853,0.0,0.0,0.0
0.70641,0.00889,0.00819,0.91869,0.00047,2.92596,0.8005,8.4315,0.54758,1.65853,0.01705,0.83212,0.35867,0.0,0.1,0.5,0.0,0.0,0.0,0.55157,0.0,0.99221,0.0,0.0,0.0
0.7269,0.0086,0.01053,0.92242,0.00049,3.11064,0.80082,7.54991,0.4366,1.53162,0.01631,0.76153,0.41185,0.0,0.10503,0.41522,0.0,0.0,0.0,0.57816,0.0,0.97266,0.0,0.0,0.0
0.7112,0.00652,0.00798,0.89215,0.00033,2.95379,0.74212,8.59887,0.58181,1.64273,0.02036,0.88806,0.38095,0.0,0.12064,0.5,0.0,0.0,0.0,0.46658,0.0,1.0,0.0,0.0,0.0
0.71726,0.00981,0.01218,0.89918,0.0005,4.10604,0.59248,6.2613,0.5,1.5,0.015,0.46549,0.39933,0.0,0.06886,0.5,0.0,0.0,0.0,0.48858,0.0,1.0,0.0,0.0,0.0
0.71072,0.01115,0.01206,0.937,0.00052,2.08078,0.8178,7.5,0.51732,1.72653,0.01318,0.81827,0.45499,0.0,0.10107,0.52692,0.0,0.0,0.0,0.40824,0.0,0.85725,0.0,0.0,0.0
0.7068,0.009,0.01065,0.93601,0.0005,3.0,0.86432,6.68435,0.44693,1.5,0.01511,0.63939,0.43801,0.0,0.08589,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.70135,0.01,0.01041,0.90989,0.00051,3.0,0.81918,7.80125,0.5,1.47125,0.015,0.62911,0.4,0.0,0.10978,0.46269,0.0,0.0,0.0,0.47951,0.0,1.0,0.0,0.0,0.0
0.70423,0.01048,0.01,0.94049,0.0005,2.86003,0.8,7.42743,0.50096,1.5,0.01508,0.70369,0.44032,0.0,0.1,0.46025,0.0,0.0,0.0,0.44518,0.0,0.92881,0.0,0.0,0.0
0.72993,0.01048,0.00852,0.91292,0.00048,3.62869,0.90192,8.4315,0.41483,1.64782,0.01653,0.7255,0.35868,0.0,0.08912,0.43302,0.0,0.0,0.0,0.51385,0.0,1.0,0.0,0.0,0.0
0.70155,0.00968,0.00769,0.95047,0.00034,2.80889,0.77705,10.89468,0.49723,1.5427,0.01743,0.67544,0.35868,0.0,0.11154,0.31111,0.0,0.0,0.0,0.64062,0.0,1.0,0.0,0.0,0.0
0.71191,0.01,0.00988,0.937,0.0005,3.4149,0.72841,7.5,0.5,1.32736,0.015,0.9,0.33161,0.0,0.06937,0.49084,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.69091,0.01146,0.00852,0.92778,0.00047,3.75731,0.83568,9.0545,0.41483,1.81468,0.01653,0.74982,0.35797,0.0,0.08493,0.42023,0.0,0.0,0.0,0.56529,0.0,0.95745,0.0,0.0,0.0
0.70054,0.0106,0.00936,0.94515,0.0005,2.93365,0.77833,8.29483,0.45633,1.62618,0.01376,0.73442,0.39653,0.0,0.09819,0.5,0.0,0.0,0.0,0.528,0.0,0.95587,0.0,0.0,0.0
